RA,DEC
46.0511,-41.6297
41.6963,-50.5008
17.2728,-47.0917
356.979,1.27787
47.8217,-44.1457
67.2417,-49.3094
49.1892,-47.1378
22.6553,-54.5950
71.6739,-50.2397
330.064,-0.190124
9.58471,-53.4336
4.57225,-43.0713
326.884,-55.4842
318.729,-55.3717
0.699567,-52.1030
18.6458,-40.8022
31.0796,-41.9939
29.3615,-51.8385
69.4648,-56.9795
66.2718,-53.2621
14.9215,-43.3759
354.259,-51.4836
38.2477,-58.5343
8.20455,-56.7390
56.1457,-53.9410
327.468,-57.3967
310.090,-55.3259
310.163,-55.7720
87.9978,-53.6365
323.968,-56.9357
83.8802,-54.2778
64.0311,-44.2260
69.8221,-41.3751
326.511,1.01054
346.372,-52.6552
47.6411,-42.4868
72.9680,-52.7385
44.0066,-45.1291
38.7124,-43.7694
89.7839,-51.6920
27.2522,-55.6044
90.5522,-55.7513
62.2097,-51.1022
318.693,-54.6557
356.473,-50.9585
357.530,0.397459
325.179,-52.4256
85.2023,-42.9594
17.2759,-53.9112
43.5647,-44.7817
66.3307,-45.0376
359.015,-51.8211
36.4912,-56.7647
306.936,-52.1928
32.4015,-55.0751
74.1815,-47.2670
56.3293,-44.9010
42.5685,-40.4789
36.7045,-52.0471
69.3564,-48.9012
303.702,-58.7619
28.6750,-58.5918
3.65909,2.28838
9.92765,-54.2460
26.6803,-43.9476
64.7212,-63.7171
24.5081,-52.9924
76.6403,-50.8925
48.3339,-50.9766
310.590,-53.0822
13.7480,-54.9803
327.077,-57.0476
67.5190,-47.6829
59.8572,-44.8999
50.6000,-60.0310
328.111,-58.5304
26.1616,-47.0284
23.5607,-49.1861
27.5597,-53.2966
22.8425,-46.4597
348.901,-59.6072
50.9456,-50.2040
60.2224,-46.2193
50.3678,-50.8373
335.880,-55.6847
357.691,-48.6345
40.3101,-47.5560
45.9863,-48.5524
44.6648,-41.9640
86.8063,-41.3073
340.856,-43.6761
90.2680,-56.6382
39.7162,-41.6348
50.0043,-43.9951
56.2484,-44.5559
305.690,-59.2241
16.0455,-58.0266
355.137,-49.9677
303.364,-58.3420
1.34223,-43.1076
70.8153,-48.4867
313.987,-53.1924
16.7659,-48.1515
324.388,-57.5666
23.1383,-41.2491
56.0736,-61.8488
359.142,-47.5289
65.0346,-42.5170
32.8647,-52.9670
59.7605,-55.7794
44.6776,-54.8771
78.1571,-55.0610
21.0351,-56.3999
22.3234,-52.5665
59.3613,-49.6788
40.5191,-58.0333
354.310,-47.9958
326.613,0.837303
343.405,-1.15526
83.9804,-40.3594
330.153,-53.7561
93.2886,-42.8701
66.0505,-65.8759
347.309,-50.0704
48.0959,-52.2609
302.122,-54.7836
43.4756,-53.4588
96.5851,-58.8527
48.5125,-57.8295
353.756,-49.3239
23.4245,-41.1617
27.9226,-48.4425
88.3636,-45.9128
25.3701,-53.5914
59.6688,-48.3615
26.3685,-55.7147
19.4720,-49.2805
3.27144,1.24096
354.380,-54.3131
355.671,-41.2060
319.001,0.753317
343.353,-46.0955
22.8367,-47.2936
47.9803,-45.7761
77.7032,-46.5403
41.2057,-44.1666
355.422,0.198133
3.53933,-48.6017
64.6126,-57.2750
80.4318,-44.3598
343.696,-49.3457
89.2735,-57.0624
18.3562,-58.2430
37.7752,-55.4923
55.0888,-57.7637
320.938,-58.4056
355.796,-41.6767
323.927,0.183818
44.0828,-54.3005
70.0833,-45.7294
42.5199,-41.0003
87.1578,-60.8584
66.0973,-41.5544
347.066,-40.7961
54.1044,-49.8254
77.6556,-51.2172
58.8849,-63.7379
20.4529,-56.1159
323.357,-56.2001
54.1696,-40.8433
48.0776,-48.7784
59.4599,-40.9881
79.7945,-57.3087
89.9806,-53.9854
305.824,-53.7599
80.8960,-50.7741
342.402,-54.5188
358.990,-54.2019
22.0334,-42.3127
68.7169,-49.8661
92.4109,-49.7262
17.6338,-41.8289
26.3194,-39.9039
17.0443,-46.5007
347.187,-45.8539
64.2934,-48.1999
84.4050,-61.2628
20.7211,-55.9037
64.7738,-47.0702
338.269,-54.2602
55.0123,-41.8394
320.693,-58.7068
32.3977,-46.5686
96.0855,-55.3124
346.518,-0.924147
87.4941,-44.2640
349.114,1.68548
57.3189,-47.3992
64.1139,-47.5016
61.5118,-59.5815
38.3881,-56.5655
69.7231,-54.7474
17.8237,-55.9131
26.8598,-44.7799
53.0919,-41.3174
354.071,-51.8253
91.6913,-55.5484
10.6748,-53.5748
356.162,-41.5524
348.488,-1.37303
60.4896,-47.9546
353.452,0.833012
37.7995,-43.9136
3.57245,-53.1243
81.0140,-52.1880
67.0309,-57.9581
42.4479,-44.6743
25.9751,-40.1085
76.5066,-44.6690
3.39408,-53.6656
40.0317,-48.9802
79.6063,-52.1519
345.330,-51.5014
344.749,-39.8738
31.4371,-51.8832
68.2125,-52.0889
305.376,-59.4653
59.0577,-64.3788
17.6729,-41.1386
16.6948,-47.5224
349.172,-0.0837550
77.8885,-58.6025
50.2297,-58.8596
41.5081,-48.2205
0.342317,1.54160
18.7994,-41.1727
45.2290,-45.0773
31.8619,-55.8492
22.3901,-50.3048
315.217,-50.7389
90.3847,-42.0881
35.3903,-49.8237
49.9094,-42.2764
347.155,-54.1301
19.9200,-48.5166
9.49046,-57.2505
341.447,-42.0177
349.337,-54.9945
324.922,-0.318797
40.0722,-48.9870
339.974,-56.7746
32.8339,-42.1724
57.6575,-45.0432
61.3470,-49.4235
57.3358,-44.5675
343.360,-53.6852
12.3291,-45.6670
324.010,-57.1220
329.226,1.37657
37.5659,-49.7257
2.71829,-54.8091
23.7392,-42.5392
322.456,-1.18498
18.0654,-47.2719
38.8148,-56.6601
67.8192,-52.6101
56.8678,-60.6019
45.7439,-48.9937
40.8210,-58.2919
0.347010,-54.6543
304.187,-51.1475
351.142,-46.1943
352.557,-0.0960040
56.2484,-44.5559
90.0034,-57.3670
48.9822,-54.2544
80.5454,-52.1033
72.8803,-56.6652
91.3612,-60.8625
19.8068,-47.2057
358.822,-1.28463
86.4164,-59.0013
93.0967,-53.9481
16.5036,-44.0807
341.103,-53.4518
64.4088,-54.5090
60.8576,-41.9411
36.0268,-47.8349
11.5016,-50.5368
351.977,-54.7458
339.519,-56.8059
20.7313,-44.6278
24.4172,-40.8450
72.5763,-56.8862
70.0693,-43.0887
334.819,0.774894
91.7327,-45.4530
357.309,-44.2219
2.15264,-51.4879
16.1455,-47.1462
89.8166,-44.6752
49.2743,-55.7322
